species	gene	segment	segment.id	segment.fam
mouse	TRA	V	TRAV3N-3	TRAV-F14
mouse	TRA	V	TRAV4-2	TRAV-F15
mouse	TRA	V	TRAV4-3	TRAV-F15
mouse	TRA	V	TRAV4-4/DV10	TRAV-F15
mouse	TRA	V	TRAV4-4DV10	TRAV-F15
mouse	TRA	V	TRAV4-4-DV10	TRAV-F15
mouse	TRA	V	TRAV4D-3	TRAV-F15
mouse	TRA	V	TRAV4D-4	TRAV-F15
mouse	TRA	V	TRAV4N-3	TRAV-F15
mouse	TRA	V	TRAV4N-4	TRAV-F15
mouse	TRA	V	TRAV6-1	TRAV-F16
mouse	TRA	V	TRAV6-2	TRAV-F16
mouse	TRA	V	TRAV6-3	TRAV-F16
mouse	TRA	V	TRAV6-4	TRAV-F16
mouse	TRA	V	TRAV6D-3	TRAV-F16
mouse	TRA	V	TRAV6D-4	TRAV-F16
mouse	TRA	V	TRAV6-5	TRAV-F17
mouse	TRA	V	TRAV6D-5	TRAV-F17
mouse	TRA	V	TRAV6N-5	TRAV-F17
mouse	TRA	V	TRAV6-6	TRAV-F18
mouse	TRA	V	TRAV6D-6	TRAV-F18
mouse	TRA	V	TRAV6N-6	TRAV-F18
mouse	TRA	V	TRAV6-7/DV9	TRAV-F19
mouse	TRA	V	TRAV6-7DV9	TRAV-F19
mouse	TRA	V	TRAV6-7-DV9	TRAV-F19
mouse	TRA	V	TRAV6D-7	TRAV-F19
mouse	TRA	V	TRAV6N-7	TRAV-F19
mouse	TRA	V	TRAV10	TRAV-F2
mouse	TRA	V	TRAV10D	TRAV-F2
mouse	TRA	V	TRAV10N	TRAV-F2
mouse	TRA	V	TRAV5-1	TRAV-F2
mouse	TRA	V	TRAV5N-4	TRAV-F2
mouse	TRA	V	TRAV7-1	TRAV-F20
mouse	TRA	V	TRAV7-2	TRAV-F20
mouse	TRA	V	TRAV7-3	TRAV-F20
mouse	TRA	V	TRAV7-4	TRAV-F20
mouse	TRA	V	TRAV7D-2	TRAV-F20
mouse	TRA	V	TRAV7D-3	TRAV-F20
mouse	TRA	V	TRAV7D-4	TRAV-F20
mouse	TRA	V	TRAV7N-4	TRAV-F20
mouse	TRA	V	TRAV7-5	TRAV-F21
mouse	TRA	V	TRAV7D-5	TRAV-F21
mouse	TRA	V	TRAV7N-5	TRAV-F21
mouse	TRA	V	TRAV7-6	TRAV-F22
mouse	TRA	V	TRAV7D-6	TRAV-F22
mouse	TRA	V	TRAV7N-6	TRAV-F22
mouse	TRA	V	TRAV8-1	TRAV-F23
mouse	TRA	V	TRAV8-2	TRAV-F23
mouse	TRA	V	TRAV8D-1	TRAV-F23
mouse	TRA	V	TRAV8D-2	TRAV-F23
mouse	TRA	V	TRAV8N-2	TRAV-F23
mouse	TRA	V	TRAV9-1	TRAV-F24
mouse	TRA	V	TRAV9D-1	TRAV-F24
mouse	TRA	V	TRAV11	TRAV-F3
mouse	TRA	V	TRAV11D	TRAV-F3
mouse	TRA	V	TRAV12-1	TRAV-F4
mouse	TRA	V	TRAV12-2	TRAV-F4
mouse	TRA	V	TRAV12-3	TRAV-F4
mouse	TRA	V	TRAV12D-1	TRAV-F4
mouse	TRA	V	TRAV12D-2	TRAV-F4
mouse	TRA	V	TRAV12N-1	TRAV-F4
mouse	TRA	V	TRAV12N-2	TRAV-F4
mouse	TRA	V	TRAV12N-3	TRAV-F4
mouse	TRA	V	TRAV13-1	TRAV-F5
mouse	TRA	V	TRAV13-2	TRAV-F5
mouse	TRA	V	TRAV13-4/DV7	TRAV-F5
mouse	TRA	V	TRAV13-4DV7	TRAV-F5
mouse	TRA	V	TRAV13-4-DV7	TRAV-F5
mouse	TRA	V	TRAV13-5	TRAV-F5
mouse	TRA	V	TRAV13D-1	TRAV-F5
mouse	TRA	V	TRAV13D-2	TRAV-F5
mouse	TRA	V	TRAV13D-4	TRAV-F5
mouse	TRA	V	TRAV13N-1	TRAV-F5
mouse	TRA	V	TRAV13N-2	TRAV-F5
mouse	TRA	V	TRAV13N-4	TRAV-F5
mouse	TRA	V	TRAV13-3	TRAV-F6
mouse	TRA	V	TRAV13D-3	TRAV-F6
mouse	TRA	V	TRAV13N-3	TRAV-F6
mouse	TRA	V	TRAV14-1	TRAV-F7
mouse	TRA	V	TRAV14-2	TRAV-F7
mouse	TRA	V	TRAV14-3	TRAV-F7
mouse	TRA	V	TRAV14D-1	TRAV-F7
mouse	TRA	V	TRAV14D-2	TRAV-F7
mouse	TRA	V	TRAV14D-3/DV8	TRAV-F7
mouse	TRA	V	TRAV14D-3DV8	TRAV-F7
mouse	TRA	V	TRAV14D-3-DV8	TRAV-F7
mouse	TRA	V	TRAV14N-1	TRAV-F7
mouse	TRA	V	TRAV14N-2	TRAV-F7
mouse	TRA	V	TRAV14N-3	TRAV-F7
mouse	TRA	V	TRAV15-1/DV6-1	TRAV-F8
mouse	TRA	V	TRAV15D-1/DV6D-1	TRAV-F8
mouse	TRA	V	TRAV15-1DV6-1	TRAV-F8
mouse	TRA	V	TRAV15D-1DV6D-1	TRAV-F8
mouse	TRA	V	TRAV15-1-DV6-1	TRAV-F8
mouse	TRA	V	TRAV15D-1-DV6D-1	TRAV-F8
mouse	TRA	V	TRAV15N-1	TRAV-F8
mouse	TRA	V	TRAV15-2/DV6-2	TRAV-F9
mouse	TRA	V	TRAV15D-2/DV6D-2	TRAV-F9
mouse	TRA	V	TRAV15-2DV6-2	TRAV-F9
mouse	TRA	V	TRAV15D-2DV6D-2	TRAV-F9
mouse	TRA	V	TRAV15-2-DV6-2	TRAV-F9
mouse	TRA	V	TRAV15D-2-DV6D-2	TRAV-F9
mouse	TRA	V	TRAV15N-2	TRAV-F9
human	TRB	J	TRBJ1-1	TRBJ-F1
human	TRB	J	TRBJ1-2	TRBJ-F1
human	TRB	J	TRBJ1-6	TRBJ-F1
human	TRB	J	TRBJ1-3	TRBJ-F2
human	TRB	J	TRBJ1-4	TRBJ-F3
human	TRB	J	TRBJ1-5	TRBJ-F3
human	TRB	J	TRBJ2-1	TRBJ-F4
human	TRB	J	TRBJ2-3	TRBJ-F4
human	TRB	J	TRBJ2-5	TRBJ-F4
human	TRB	J	TRBJ2-7	TRBJ-F4
human	TRB	J	TRBJ2-2	TRBJ-F5
human	TRB	J	TRBJ2-4	TRBJ-F5
human	TRB	J	TRBJ2-6	TRBJ-F5
mouse	TRB	J	TRBJ1-1	TRBJ-F1
mouse	TRB	J	TRBJ1-2	TRBJ-F1
mouse	TRB	J	TRBJ1-3	TRBJ-F2
mouse	TRB	J	TRBJ1-4	TRBJ-F3
mouse	TRB	J	TRBJ1-5	TRBJ-F3
mouse	TRB	J	TRBJ2-1	TRBJ-F4
mouse	TRB	J	TRBJ2-5	TRBJ-F4
mouse	TRB	J	TRBJ2-7	TRBJ-F4
mouse	TRB	J	TRBJ2-2	TRBJ-F5
mouse	TRB	J	TRBJ2-3	TRBJ-F6
mouse	TRB	J	TRBJ2-4	TRBJ-F6
human	TRB	V	TRBV10-1	TRBV-F1
human	TRB	V	TRBV10-2	TRBV-F1
human	TRB	V	TRBV10-3	TRBV-F1
human	TRB	V	TRBV3-1	TRBV-F10
human	TRB	V	TRBV4-1	TRBV-F10
human	TRB	V	TRBV4-2	TRBV-F10
human	TRB	V	TRBV4-3	TRBV-F10
human	TRB	V	TRBV30	TRBV-F11
human	TRB	V	TRBV5-1	TRBV-F12
human	TRB	V	TRBV5-4	TRBV-F12
human	TRB	V	TRBV5-5	TRBV-F12
human	TRB	V	TRBV5-6	TRBV-F12
human	TRB	V	TRBV5-8	TRBV-F12
human	TRB	V	TRBV6-1	TRBV-F13
human	TRB	V	TRBV6-2	TRBV-F13
human	TRB	V	TRBV6-3	TRBV-F13
human	TRB	V	TRBV6-4	TRBV-F13
human	TRB	V	TRBV6-5	TRBV-F13
human	TRB	V	TRBV6-6	TRBV-F13
human	TRB	V	TRBV6-8	TRBV-F13
human	TRB	V	TRBV6-9	TRBV-F13
human	TRB	V	TRBV7-2	TRBV-F14
human	TRB	V	TRBV7-3	TRBV-F14
human	TRB	V	TRBV7-4	TRBV-F14
human	TRB	V	TRBV7-6	TRBV-F14
human	TRB	V	TRBV7-7	TRBV-F14
human	TRB	V	TRBV7-8	TRBV-F14
human	TRB	V	TRBV7-9	TRBV-F14
human	TRB	V	TRBV11-1	TRBV-F2
human	TRB	V	TRBV11-2	TRBV-F2
human	TRB	V	TRBV11-3	TRBV-F2
human	TRB	V	TRBV12-3	TRBV-F3
human	TRB	V	TRBV12-4	TRBV-F3
human	TRB	V	TRBV12-5	TRBV-F3
human	TRB	V	TRBV13	TRBV-F4
human	TRB	V	TRBV9	TRBV-F4
human	TRB	V	TRBV14	TRBV-F5
human	TRB	V	TRBV2	TRBV-F5
human	TRB	V	TRBV15	TRBV-F6
human	TRB	V	TRBV16	TRBV-F7
human	TRB	V	TRBV18	TRBV-F7
human	TRB	V	TRBV19	TRBV-F8
human	TRB	V	TRBV24-1	TRBV-F8
human	TRB	V	TRBV25-1	TRBV-F8
human	TRB	V	TRBV27	TRBV-F8
human	TRB	V	TRBV28	TRBV-F8
human	TRB	V	TRBV20-1	TRBV-F9
human	TRB	V	TRBV29-1	TRBV-F9
mouse	TRB	V	TRBV1	TRBV-F1
mouse	TRB	V	TRBV31	TRBV-F1
mouse	TRB	V	TRBV12-1	TRBV-F2
mouse	TRB	V	TRBV12-2	TRBV-F2
mouse	TRB	V	TRBV13-1	TRBV-F3
mouse	TRB	V	TRBV13-2	TRBV-F3
mouse	TRB	V	TRBV13-3	TRBV-F3
mouse	TRB	V	TRBV14	TRBV-F4
mouse	TRB	V	TRBV15	TRBV-F4
mouse	TRB	V	TRBV16	TRBV-F4
mouse	TRB	V	TRBV3	TRBV-F4
mouse	TRB	V	TRBV17	TRBV-F5
mouse	TRB	V	TRBV19	TRBV-F5
mouse	TRB	V	TRBV29	TRBV-F5
mouse	TRB	V	TRBV2	TRBV-F6
mouse	TRB	V	TRBV5	TRBV-F6
mouse	TRB	V	TRBV20	TRBV-F7
mouse	TRB	V	TRBV30	TRBV-F7
mouse	TRB	V	TRBV23	TRBV-F8
mouse	TRB	V	TRBV24	TRBV-F8
mouse	TRB	V	TRBV26	TRBV-F8
